INFO:     Started server process [30290]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     127.0.0.1:39552 - "GET /siem/status HTTP/1.1" 200 OK
IDS Sniff Error: [Errno 1] Operation not permitted
INFO:     127.0.0.1:39552 - "POST /ids/start?interface=eth0 HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:39546 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:54396 - "GET /siem/logs HTTP/1.1" 200 OK
INFO:     127.0.0.1:54402 - "GET /siem/logs HTTP/1.1" 200 OK
INFO:     127.0.0.1:54402 - "GET /siem/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54396 - "GET /siem/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54396 - "GET /siem/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54402 - "GET /siem/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54402 - "POST /siem/feed?log_line=192.168.1.66%20-%20-%20%5B2026-02-21T07%3A03%3A17.629Z%5D%20%22POST%20%2Flogin%20HTTP%2F1.1%22%20401%20500 HTTP/1.1" 200 OK
INFO:     127.0.0.1:54402 - "GET /siem/logs HTTP/1.1" 200 OK
INFO:     127.0.0.1:54402 - "GET /siem/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54402 - "GET /siem/status HTTP/1.1" 200 OK
IDS Sniff Error: [Errno 1] Operation not permitted
INFO:     127.0.0.1:54402 - "POST /ids/start?interface=eth0 HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54390 - "GET /ids/blocklist HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54786 - "GET /dashboard/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54786 - "GET /siem/logs HTTP/1.1" 200 OK
INFO:     127.0.0.1:54800 - "GET /siem/logs HTTP/1.1" 200 OK
INFO:     127.0.0.1:54800 - "GET /siem/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54786 - "GET /siem/alerts HTTP/1.1" 200 OK
INFO:     127.0.0.1:54786 - "GET /siem/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54800 - "GET /siem/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54800 - "GET /siem/logs HTTP/1.1" 200 OK
INFO:     127.0.0.1:54800 - "GET /siem/alerts HTTP/1.1" 200 OK
